3;0;495
3;2;480
3;1;315
4;3;435
4;2;397
4;0;694
5;1;682
5;4;477
5;3;371
6;4;420
6;5;745
6;0;1090
7;4;405
7;2;196
7;1;530
8;5;972
8;3;821
8;2;409
9;4;315
9;7;392
9;0;390
10;6;67
10;7;577
10;5;708
11;10;47
11;6;54
11;4;398
12;11;345
12;8;175
12;7;289
13;12;389
13;10;40
13;7;615
14;1;639
14;5;157
14;3;328
15;10;427
15;6;453
15;8;238
16;13;214
16;2;871
16;10;253
17;8;707
17;1;97
17;2;309
18;3;131
18;4;512
18;9;246
19;11;292
19;9;572
19;13;235
20;7;200
20;8;19
20;12;191
21;3;642
21;2;262
21;4;342
22;13;335
22;4;328
22;12;613
23;3;94
23;18;204
23;9;208
24;12;326
24;1;488
24;10;424
25;24;198
25;12;209
25;16;459
26;9;628
26;12;193
26;16;414
27;23;345
27;4;27
27;18;508
28;19;136
28;22;127
28;21;547
29;0;847
29;14;96
29;5;62
30;16;35
30;10;238
30;19;203
31;29;180
31;14;152
31;28;574
32;17;289
32;16;897
32;26;613
33;4;458
33;9;224
33;20;486
34;16;218
34;19;130
34;26;483
35;28;125
35;23;287
35;22;252
36;4;132
36;19;190
36;13;374
37;28;282
37;22;157
37;36;363
38;34;183
38;23;609
38;28;299
39;25;368
39;35;220
39;23;180
0;17;272
0;23;529
0;32;343
1;35;577
1;33;250
1;23;351
2;29;763
2;37;865
2;39;302
